,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,MSN,HOSE,02/01/2019,,63847,63847,63280,63604,433670,34044860000
1,MSN,HOSE,03/01/2019,,63847,63847,62795,63118,565640,44161470000
2,MSN,HOSE,04/01/2019,,62309,62714,61095,61662,463070,35389120000
3,MSN,HOSE,07/01/2019,,63199,63523,62471,63280,336380,26223500000
4,MSN,HOSE,08/01/2019,,63280,64009,63199,63928,279810,22031770000
5,MSN,HOSE,09/01/2019,,63928,64575,63847,63928,339530,26903220000
6,MSN,HOSE,10/01/2019,,63928,65627,63928,64899,450900,36219710000
7,MSN,HOSE,11/01/2019,,64980,65708,64737,65303,452300,36490100000
8,MSN,HOSE,14/01/2019,,65303,65789,64980,65141,268810,21707000000
9,MSN,HOSE,15/01/2019,,65222,66355,65061,66274,403800,32854020000
10,MSN,HOSE,16/01/2019,,66355,66841,65870,65870,483100,39605000000
11,MSN,HOSE,17/01/2019,,65789,66436,64899,64899,320060,25989000000
12,MSN,HOSE,18/01/2019,,64899,65870,64899,65546,359080,29086000000
13,MSN,HOSE,21/01/2019,,65546,65789,65222,65384,266000,21544320000
14,MSN,HOSE,22/01/2019,,65384,65465,64818,64818,115780,9331250000
15,MSN,HOSE,23/01/2019,,64818,64818,63118,63118,707690,55928090000
16,MSN,HOSE,24/01/2019,,63685,63847,62714,63118,435690,34019700000
17,MSN,HOSE,25/01/2019,,63118,63604,62957,63361,677540,52944430000
18,MSN,HOSE,28/01/2019,,63361,64170,63361,64009,749070,59131970000
19,MSN,HOSE,29/01/2019,,64737,64737,64089,64332,604480,48056500000
20,MSN,HOSE,30/01/2019,,64009,64413,64009,64009,591400,46935950000
21,MSN,HOSE,31/01/2019,,64251,64413,62876,62876,721900,56629100000
22,MSN,HOSE,01/02/2019,,63118,63604,62714,63442,679540,53179490000
23,MSN,HOSE,11/02/2019,,64656,66517,64575,64899,1094450,88537140000
24,MSN,HOSE,12/02/2019,,65951,67164,65384,66598,1032810,84720080000
25,MSN,HOSE,13/02/2019,,66598,69511,66598,69511,1361490,114637400000
26,MSN,HOSE,14/02/2019,,69511,69916,67974,69592,1451830,123832530000
27,MSN,HOSE,15/02/2019,,69430,69430,68459,68540,779850,66291930000
28,MSN,HOSE,18/02/2019,,68783,69188,68702,69107,659240,56120950000
29,MSN,HOSE,19/02/2019,,68864,70078,68864,69997,1121720,96472920000
30,MSN,HOSE,20/02/2019,,69592,69916,69430,69592,1131460,97388170000
31,MSN,HOSE,21/02/2019,,69835,72748,69835,72586,2224960,196061450000
32,MSN,HOSE,22/02/2019,,72748,73638,71534,71534,1234210,111103770000
33,MSN,HOSE,25/02/2019,,74447,74447,73234,73800,1139980,104490890000
34,MSN,HOSE,26/02/2019,,73638,73800,71534,72829,902730,80926820000
35,MSN,HOSE,27/02/2019,,72910,73557,72667,72748,788910,71127140000
36,MSN,HOSE,28/02/2019,,72748,72748,71615,71939,835220,74316770000
37,MSN,HOSE,01/03/2019,,72020,72182,71372,72020,683440,60747380000
38,MSN,HOSE,04/03/2019,,72101,73962,72020,72424,1284390,115220430000
39,MSN,HOSE,05/03/2019,,72424,73557,72263,72343,772090,69451820000
40,MSN,HOSE,06/03/2019,,72829,72991,72263,72829,695520,62518940000
41,MSN,HOSE,07/03/2019,,73395,73638,72667,72829,947510,85421990000
42,MSN,HOSE,08/03/2019,,72101,72829,71615,72667,469730,41994470000
43,MSN,HOSE,11/03/2019,,71291,72586,71291,72505,602350,53687910000
44,MSN,HOSE,12/03/2019,,72505,72829,71291,71615,653990,58097480000
